question,ground_truth
"What is the specific scale factor (arcseconds per step) used by the teloffset program to calculate guideprobe movement?","The teloffset program uses a scale factor of 0.007153 arcseconds per step. (Note: The descriptive text in the documentation mentions a rounded value of 0.0073.)"
"What is the default focus position (foc-pos) and TV focus (tv-foc) for the ALFOSC instrument?","According to the instrument settings table, the default foc-pos is 26630 and the tv-foc is 510."
"When using the slit-offset program, what is the required CCD-number if an observer is using ALFOSC versus Stancam?","The required CCD-number is 1 for Stancam and 7 for ALFOSC."
"What is the exit status code returned by teloffset if the telescope is not being autoguided at the time of execution?","The program returns an exit status of -2 if the telescope is not being autoguided."
"In the alfosc_ser_daemon command set, what does the command ""SEnnnnn"" trigger, and what does the ""nnnnn"" represent?","The command triggers the start of an exposure, and ""nnnnn"" represents the duration of the exposure in seconds."
"Explain the complete sequence of events that occurs when the teloffset program is executed while the telescope is already being autoguided.","The sequence is: 1) Connect to the TCS, 2) Get field rotation and check autoguiding, 3) Calculate guideprobe movement, 4) Check movement limits, 5) Switch autoguiding off, 6) Move the telescope and guideprobe, 7) Wait for movement to finish and tracking to stabilize, and 8) Switch autoguiding back on."
"During afternoon preparations, what are the exact steps required to load a new TCS Target Catalogue?","Observers must press the CAT button on the TCS, use the erase-catalogue command if a current catalogue exists, and then load the new one by typing read-catalogue catname.cat."
"Describe the process an observer must follow to interactively identify a target for spectroscopy during an Observing Block (OB) execution.","The observer identifies the target on the acquisition image by placing the mouse cursor over it and pressing a+q for point sources or x+q for extended sources."
"What is the recommended procedure for obtaining twilight sky flats in the evening, including the suggested count levels?","Observers should point to a blank field (ideally in the east), adjust the focus for the specific filter, and run the easyflat 3 script, aiming for count levels around 2-300 kADU per pixel."
"If the teloffset program is run manually from the command line, what four specific arguments must be provided in the command string?","The four required arguments are the IP-number of the TCS computer, the current accesscode, the X-offset, and the Y-offset."
"Under what specific weather conditions (wind speed and humidity) must the telescope be closed immediately?","The telescope must be closed if the humidity reaches 90% or the wind speed reaches 20 m/s."
"What is the maximum tracking speed limit currently being tested for rapidly moving targets at the NOT?","The software speed limit for fast tracking (without autoguiding) has been increased to more than 5000""/s."
"In the slit-offset program, what are the coordinate limits for the Guideprobe X and Y positions that would trigger an ""outside limits"" error?","The X-position limits are 1100.0 to 225000.0, and the Y-position limits are 1100.0 to 165000.0."
"According to the ALFOSC Cookbook, why should the TV focus not be adjusted while placing an object on a slit?","The TV focus should not be adjusted because a change of 25 units can move the position of a star on the ALFOSC CCD by up to 1 arcsecond, potentially causing misalignment with the slit."
"If an observer encounters a ""building crash,"" what resource does the documentation point to for recovery instructions?","The documentation directs observers to follow the steps listed under the section ""recovering from a building crash""."
"The teloffset documentation notes a potential bug regarding offset accuracy; what is the suspected cause of this inaccuracy?","The suspected cause is errors in the determination of the scale of the guideprobe."
"What should an observer do if the ALFOSC UIF fails to start with an error message?","The observer should power cycle the motor controller and ensure all network cables are properly connected."
"If the slit-offset program returns an exit status of -6, what does this indicate happened during communication with the TCS?","An exit status of -6 indicates that the process ""Timed out""."
"How should I properly credit the Nordic Optical Telescope in my research paper?","Papers should explicitly mention the ""Nordic Optical Telescope (NOT)""; specific required wording and links for the proper credit format are available on the NOT website."
