system_version,sheet_name,round,question,answer
R1_-_MD,R1 - MD,R1,What is the specific scale factor (arcseconds per step) used by the teloffset program to calculate guideprobe movement?,"Unfortunately, the context does not provide specific information on the scale factor used by the teloffset program to calculate guide probe movement. The context provides general information about the TCS commands and their usage, but it does not specify the exact scale factors for any particular command or program."
R1_-_MD,R1 - MD,R1,What is the default focus position (foc-pos) and TV focus (tv-foc) for the ALFOSC instrument?,"The default focus position (foc-pos) for the ALFOSC instrument is 1653 units.
Unfortunately, I couldn't find any information on the default TV focus (tv-foc) value for the ALFOSC instrument in the provided context. However, it's mentioned that the default instrument focus for ALFOSC is 1610 units."
R1_-_MD,R1 - MD,R1,"When using the slit-offset program, what is the required CCD-number if an observer is using ALFOSC versus Stancam?","Unfortunately, the context does not provide specific information on the required CCD number for slit-offset program when using ALFOSC versus Stancam. The provided text mentions that ""For CCD#8 we usually put the vertical spectrum at column x=1050"" but it does not specify the CCD number for other instruments like Stancam."
R1_-_MD,R1 - MD,R1,What is the exit status code returned by teloffset if the telescope is not being autoguided at the time of execution?,The context does not provide specific information on the exit status code returned by teloffset if the telescope is not being autoguided at the time of execution.
R1_-_MD,R1 - MD,R1,"In the alfosc_ser_daemon command set, what does the command ""SEnnnnn"" trigger, and what does the ""nnnnn"" represent?","Unfortunately, the context does not provide specific information on what the command ""SEnnnnn"" triggers in the alfosc_ser_daemon command set, or what the ""nnnnn"" represents."
R1_-_MD,R1 - MD,R1,"If the teloffset program is run manually from the command line, what four specific arguments must be provided in the command string?","The context does not specify the exact arguments required for running the teloffset program manually from the command line. However, it is mentioned that the ""teloffset"" command requires a parameter to be hidden, but the specific argument names are not provided."
R1_-_MD,R1 - MD,R1,Under what specific weather conditions (wind speed and humidity) must the telescope be closed immediately?,"According to the context, the telescope must be closed immediately if:

* The humidity reaches 100%
* The rain sensor senses rain
* Ice can be felt on any part of the walkway hand-rail (this condition is not explicitly stated as a separate weather condition, but rather as a safety precaution)

Additionally, specific wind speed conditions are mentioned:

* If there is dust in the air, the lower hatch and side-ports should be closed at 10 m/s
* The telescope should close if the wind speed reaches 20 m/s"
R1_-_MD,R1 - MD,R1,What is the maximum tracking speed limit currently being tested for rapidly moving targets at the NOT?,"The maximum tracking speed limit currently being tested for rapidly moving targets at the NOT is more than 5000""/s."
R1_-_MD,R1 - MD,R1,"In the slit-offset program, what are the coordinate limits for the Guideprobe X and Y positions that would trigger an ""outside limits"" error?","Unfortunately, the context does not provide specific information on the coordinate limits for the Guideprobe X and Y positions that would trigger an ""outside limits"" error in the slit-offset program."
R1_-_MD,R1 - MD,R1,"If the slit-offset program returns an exit status of -6, what does this indicate happened during communication with the TCS?",The context does not provide information on the specific meaning of an exit status of -6 returned by the slit-offset program during communication with the TCS.
R1_-_MD,R1 - MD,R1,Who do I contact if there is a technical failure with the telescope or instrument?,"According to the context, you can address the administrative staff by email using their individual accounts or by sending a mail to administracion@ for technical failures with the telescope or instrument."
R1_-_MD,R1 - MD,R1,Subjective Fragen,
