question,best_system,best_score
"According to the ALFOSC Cookbook, why should the TV focus not be adjusted while placing an object on a slit?",local_ollama_qwen25_7b_rag_current,-0.994
Describe the process an observer must follow to interactively identify a target for spectroscopy during an Observing Block (OB) execution.,local_ollama_qwen25_7b_rag_current,-0.992
"During afternoon preparations, what are the exact steps required to load a new TCS Target Catalogue?",local_ollama_qwen25_7b_rag_current,0.608
Explain the complete sequence of events that occurs when the teloffset program is executed while the telescope is already being autoguided.,local_ollama_qwen25_7b_rag_current,0.607
How should I properly credit the Nordic Optical Telescope in my research paper?,local_ollama_qwen25_7b_rag_current,1.01
"If an observer encounters a ""building crash,"" what resource does the documentation point to for recovery instructions?",local_ollama_qwen25_7b_rag_current,-1.0
"If the slit-offset program returns an exit status of -6, what does this indicate happened during communication with the TCS?",local_ollama_qwen25_7b_rag_current,1.009
"If the teloffset program is run manually from the command line, what four specific arguments must be provided in the command string?",local_ollama_qwen25_7b_rag_current,-0.994
"In the alfosc_ser_daemon command set, what does the command ""SEnnnnn"" trigger, and what does the ""nnnnn"" represent?",local_ollama_qwen25_7b_rag_current,-0.995
"In the slit-offset program, what are the coordinate limits for the Guideprobe X and Y positions that would trigger an ""outside limits"" error?",local_ollama_qwen25_7b_rag_current,-0.993
The teloffset documentation notes a potential bug regarding offset accuracy; what is the suspected cause of this inaccuracy?,local_ollama_qwen25_7b_rag_current,-1.0
Under what specific weather conditions (wind speed and humidity) must the telescope be closed immediately?,local_ollama_qwen25_7b_rag_current,1.01
What is the default focus position (foc-pos) and TV focus (tv-foc) for the ALFOSC instrument?,local_ollama_qwen25_7b_rag_current,0.708
What is the exit status code returned by teloffset if the telescope is not being autoguided at the time of execution?,local_ollama_qwen25_7b_rag_current,0.006
What is the maximum tracking speed limit currently being tested for rapidly moving targets at the NOT?,local_ollama_qwen25_7b_rag_current,-0.993
"What is the recommended procedure for obtaining twilight sky flats in the evening, including the suggested count levels?",local_ollama_qwen25_7b_rag_current,0.908
What is the specific scale factor (arcseconds per step) used by the teloffset program to calculate guideprobe movement?,local_ollama_qwen25_7b_rag_current,0.91
What should an observer do if the ALFOSC UIF fails to start with an error message?,local_ollama_qwen25_7b_rag_current,1.01
"When using the slit-offset program, what is the required CCD-number if an observer is using ALFOSC versus Stancam?",local_ollama_qwen25_7b_rag_current,1.01
